ServiceName,Suburb,Postcode,NumberOfApprovedPlaces,OverallRating
Hallam Gardens Kindergarten,HALLAM,3803,33,Exceeding NQS
Only About Children Berwick,BERWICK,3806,54,Meeting NQS
Berwick Twinkle Star Early Learning Centre,BERWICK,3806,60,Meeting NQS
Narre Warren Early Learning Centre,NARRE WARREN,3805,33,Meeting NQS
St Margaret's School Pre-prep,BERWICK,3806,89,Exceeding NQS
Haileybury Berwick College,BERWICK,3806,110,Exceeding NQS
Beaconsfield Kindergarten,BEACONSFIELD,3807,29,Exceeding NQS
Gembrook Preschool,GEMBROOK,3783,33,Meeting NQS
Nar Nar Goon Kindergarten,NAR NAR GOON,3812,32,Exceeding NQS
Pakenham Kindergarten,PAKENHAM,3810,33,Exceeding NQS
Bunyip Kindergarten,BUNYIP,3815,57,Exceeding NQS
Garfield Kindergarten,GARFIELD,3814,30,Meeting NQS
Upper Beaconsfield Kindergarten,BEACONSFIELD UPPER,3808,30,Exceeding NQS
Cockatoo Kinder,COCKATOO,3781,28,Meeting NQS
Upper Beaconsfield Community Early Learning Centre,BEACONSFIELD UPPER,3808,26,Meeting NQS
Cockatoo Community Childcare Centre,COCKATOO,3781,53,Meeting NQS
Little Saints Early Learning Centre,PAKENHAM,3810,60,Meeting NQS
Officer Child Care Centre,OFFICER,3809,120,Meeting NQS
Lang Lang Preschool,LANG LANG,3984,30,Meeting NQS
St Peter's Anglican Kindergarten,BOX HILL,3128,25,Meeting NQS
Woodhouse Grove Kindergarten,BOX HILL NORTH,3129,50,Exceeding NQS
Friend Street Kindergarten,MONT ALBERT NORTH,3129,30,Exceeding NQS
Parkside Preschool,BOX HILL NORTH,3129,25,Exceeding NQS
Box Hill South Preschool,BOX HILL SOUTH,3128,30,Meeting NQS
Box Hill North Primary Kindergarten,BOX HILL NORTH,3129,50,Meeting NQS
Wattle Hill Kindergarten,BURWOOD,3125,24,Exceeding NQS
St Scholastica's Kindergarten,BURWOOD,3125,33,Meeting NQS
St Augustine’s Anglican Kindergarten,MONT ALBERT NORTH,3129,50,Exceeding NQS
Florence Road Preschool,SURREY HILLS,3127,48,Meeting NQS
Deakin & Community Childcare Co-operative,BURWOOD,3125,60,Exceeding NQS
Surrey Hills Baptist Children's Centre,SURREY HILLS,3127,98,Exceeding NQS
Guardian Childcare & Education Box Hill,BOX HILL,3128,46,Exceeding NQS
Surrey Hills Child Care Centre,SURREY HILLS,3127,47,Working Towards NQS
Wattle Park Children's Services Centre,BURWOOD,3125,41,Meeting NQS
Papilio Early Learning Box Hill North,BOX HILL NORTH,3129,55,Meeting NQS
Presbyterian Ladies College Early Learning,BURWOOD,3125,163,Exceeding NQS
Watts Street Children's Centre,BOX HILL,3128,80,Exceeding NQS
Brighton Beach Early Learning Centre,BRIGHTON,3186,64,Meeting NQS
Wilson Street Kindergarten,BRIGHTON,3186,54,Exceeding NQS
Hurlingham Park Preschool,BRIGHTON EAST,3187,30,Meeting NQS
St Marys Preschool,BRIGHTON EAST,3187,30,Exceeding NQS
Brighton Baptist Kindergarten,BRIGHTON,3186,35,Exceeding NQS
St Peters Kindergarten,BRIGHTON,3186,26,Exceeding NQS
Melbourne Montessori School Brighton Campus,BRIGHTON EAST,3187,158,Exceeding NQS
Bambini Juniors Early Learning Centre,BRIGHTON,3186,121,Exceeding NQS
Hunt Community Child Care Centre,BRIGHTON,3186,44,Meeting NQS
Brighton Early Learning Centre,BRIGHTON,3186,64,Meeting NQS
Firbank Grammar School,BRIGHTON,3186,127,Exceeding NQS
Mt Piper Kindergarten,BROADFORD,3658,62,Meeting NQS
Campbellfield Preschool,CAMPBELLFIELD,3061,30,Meeting NQS
Moomba Park Kindergarten,FAWKNER,3060,60,Meeting NQS
Glenroy Memorial Kindergarten,GLENROY,3046,30,Working Towards NQS
Oak Park Kindergarten,OAK PARK,3046,33,Exceeding NQS
Taylor Drive Preschool,TULLAMARINE,3043,33,Meeting NQS
Westmeadows Preschool,WESTMEADOWS,3049,33,Meeting NQS
Joybelle Child Care Centre,FAWKNER,3060,50,Meeting NQS
Tarcoola Preschool,COOLAROO WEST,3048,81,Meeting NQS
The Playhouse,DALLAS,3047,73,Exceeding NQS
Belle Vue Park Kindergarten,GLENROY,3046,59,Meeting NQS
Pearl Street Child Care Centre,GLENROY,3046,65,Meeting NQS
East Brunswick Kindergarten,EAST BRUNSWICK,3057,75,Exceeding NQS
Denzil Don Free Kindergarten,BRUNSWICK WEST,3055,75,Exceeding NQS
MCM Early Years Hub Hartnett House,BRUNSWICK,3056,126,Meeting NQS
Dewdrops Early Learning - Moreland,BRUNSWICK,3056,46,Meeting NQS
Dawson Street Child Care Centre,BRUNSWICK,3056,58,Exceeding NQS
Dunstan Reserve Child Care Centre,BRUNSWICK WEST,3055,72,Exceeding NQS
Tinning Street Child Care Centre,BRUNSWICK,3056,35,Exceeding NQS
Park Street Child Care and Kindergarten,BRUNSWICK,3056,44,Exceeding NQS
Mitchell Street Child Care Centre,BRUNSWICK,3056,35,Exceeding NQS
Brunswick Creche & Day Nursery,BRUNSWICK,3056,62,Meeting NQS
Dobell Avenue Preschool,SUNBURY,3429,29,Exceeding NQS
St Andrews Sunbury Kindergarten,SUNBURY,3429,60,Exceeding NQS
Stewarts Lane Preschool,SUNBURY,3429,66,Exceeding NQS
Bank Street Preschool,CRAIGIEBURN,3064,33,Meeting NQS
McEwen Drive Preschool,SUNBURY,3429,33,Meeting NQS
Mitford Crescent Preschool,CRAIGIEBURN,3064,33,Meeting NQS
Learmonth Street Preschool,SUNBURY,3429,29,Exceeding NQS
Bradford Avenue Children's Centre,GREENVALE,3059,66,Meeting NQS
Pembroke Crescent Preschool Centre,CRAIGIEBURN,3064,33,Working Towards NQS
Barrymore Road Children's Centre,GREENVALE,3059,71,Meeting NQS
Craigieburn Early Childhood Services Centre,CRAIGIEBURN,3064,75,Exceeding NQS
Sunningdale Children's Centre,SUNBURY,3429,130,Meeting NQS
Roxburgh Park Community House & Children's Centre,ROXBURGH PARK,3064,52,Meeting NQS
Attwood Child Care Centre and Kindergarten,ATTWOOD,3049,67,Meeting NQS
Oak Street Kindergarten,DROUIN,3818,62,Exceeding NQS
Longwarry Kindergarten,LONGWARRY,3816,38,Exceeding NQS
Buninyong Preschool,BUNINYONG,3357,63,Exceeding NQS
Mt Clear Community Kindergarten,MOUNT CLEAR,3350,66,Meeting NQS
Estrella Preschool,ASHBURTON,3147,30,Meeting NQS
Balwyn East Kindergarten,BALWYN,3103,28,Meeting NQS
Yongala Kindergarten,BALWYN,3103,27,Exceeding NQS
Bellevue Kindergarten,BALWYN NORTH,3104,52,Exceeding NQS
Boroondara Preschool,BALWYN NORTH,3104,30,Exceeding NQS
The Merrell Kindergarten,BALWYN NORTH,3104,28,Exceeding NQS
Rowen Street Kindergarten,GLEN IRIS,3146,55,Exceeding NQS
Alfred Road Kindergarten,GLEN IRIS,3146,30,Exceeding NQS
Summerhill Park Kindergarten,GLEN IRIS,3146,27,Exceeding NQS
Fordham Avenue Kindergarten,CAMBERWELL,3124,51,Exceeding NQS
St Dunstan's Kindergarten,CAMBERWELL,3124,27,Exceeding NQS
Canterbury Norwood Baptist Kindergarten,CANTERBURY,3126,30,Exceeding NQS
St Pauls Anglican Kindergarten,CANTERBURY,3126,48,Exceeding NQS
Deepdene Preschool,DEEPDENE,3103,25,Meeting NQS
Canterbury & District Preschool,SURREY HILLS,3127,28,Exceeding NQS
Surrey Hills Preschool Centre,SURREY HILLS,3127,49,Meeting NQS
Cgs Pre-preparatory Centre,CANTERBURY,3126,27,Exceeding NQS
Highgate Early Learning Centre,ASHBURTON,3147,55,Exceeding NQS
Canterbury Child Care Centre,CANTERBURY,3126,31,Meeting NQS
Through Road Child Care Centre,CAMBERWELL,3124,44,Exceeding NQS
Papilio Early Learning Ashburton,ASHBURTON,3147,70,Meeting NQS
Camberwell Kindergarten and Child Care Centre,CAMBERWELL,3124,51,Meeting NQS
Minifie Park Early Childhood Centre,BALWYN,3103,102,Working Towards NQS
Baranbali Camperdown Kindergarten,CAMPERDOWN,3260,60,Exceeding NQS
Castlemaine Kindergarten,CASTLEMAINE,3450,58,Exceeding NQS
South Castlemaine Kindergarten,CASTLEMAINE,3450,29,Exceeding NQS
Castlemaine Child Care Centre,CASTLEMAINE,3450,60,Exceeding NQS
Fink Karp Ivany Early Learning Centre,CAULFIELD SOUTH,3162,87,Exceeding NQS
Sholem Aleichem Preschool Education Centre,ELSTERNWICK,3185,121,Exceeding NQS
Ormond Community Kindergarten,ORMOND,3204,30,Exceeding NQS
Ripponlea Kindergarten,ST KILDA EAST,3183,24,Exceeding NQS
GEKA Murrumbeena Kindergarten,MURRUMBEENA,3163,27,Meeting NQS
Adass Israel Preschool,ELSTERNWICK,3185,250,Exceeding NQS
Shelford Child Care & Early Learning Centre,CAULFIELD,3162,56,Exceeding NQS
Abeles Liberman Preschool,CAULFIELD SOUTH,3162,155,Exceeding NQS
Murrumbeena Early Learning Centre,MURRUMBEENA,3163,48,Exceeding NQS
Caulfield Early Learning Centre,CAULFIELD,3162,57,Exceeding NQS
Carnegie Early Learning Centre,CARNEGIE,3163,35,Exceeding NQS
Gilly's Early Learning Centre,BALACLAVA,3183,60,Exceeding NQS
Chaya's Creche,ELSTERNWICK,3185,31,Exceeding NQS
Szalmuk Family Early Learning Centre,ST KILDA EAST,3183,184,Exceeding NQS
Roseberry House Early Learning Centre,GLEN HUNTLY,3163,81,Meeting NQS
Shelford Early Discovery Centre,CAULFIELD,3162,50,Exceeding NQS
Charlton & District Kindergarten,CHARLTON,3525,28,Exceeding NQS
Nola Barber Kindergarten,ASPENDALE,3195,44,Meeting NQS
Aspendale North Kindergarten,ASPENDALE,3195,33,Meeting NQS
Edithvale Preschool Centre,EDITHVALE,3196,27,Exceeding NQS
Kindy Patch Chelsea,CHELSEA,3196,70,Meeting NQS
Chelsea World of Learning 1,CHELSEA,3196,49,Meeting NQS
Bonbeach Preschool,BONBEACH,3196,54,Exceeding NQS
Patterson Lakes World of Learning,CARRUM,3197,52,Meeting NQS
Eilleen Taylor Kindergarten,COBRAM,3644,36,Meeting NQS
Punt Road Kindergarten and Childcare Centre,COBRAM,3644,63,Working Towards NQS
Lake Park Kindergarten,COBURG NORTH,3058,30,Meeting NQS
St Linus Kindergarten,MERLYNSTON,3058,28,Exceeding NQS
Derby Street Children's Centre,PASCOE VALE,3044,76,Exceeding NQS
Kent Road Uniting Church Preschool,PASCOE VALE,3044,33,Meeting NQS
Brentwood Kindergarten,PASCOE VALE SOUTH,3044,30,Exceeding NQS
Doris Blackburn Preschool Centre,PASCOE VALE SOUTH,3044,53,Exceeding NQS
Pascoe Vale South Uniting Church Kindergarten,PASCOE VALE SOUTH,3044,33,Meeting NQS
Turner Street Kindergarten,PASCOE VALE SOUTH,3044,29,Exceeding NQS
Shirley Robertson Childrens Centre,COBURG,3058,75,Exceeding NQS
Coburg & Pascoe Vale South Child Care Centre,PASCOE VALE SOUTH,3044,45,Meeting NQS
Anne Sgro Children's Centre,COBURG,3058,82,Exceeding NQS
Antonine Sisters Child Care Centre,COBURG,3058,50,Meeting NQS
Barry Beckett Children's Centre,COBURG,3058,93,Meeting NQS
Community Kids Pascoe Vale Early Education Centre,PASCOE VALE SOUTH,3044,65,Meeting NQS
Newlands Preschool,COBURG,3058,32,Meeting NQS
Moreland Kindergarten,COBURG,3058,25,Meeting NQS
Kids on the Avenue Children's Centre,MORELAND,3058,56,Meeting NQS
Cohuna & District Preschool Centre,COHUNA,3568,30,Meeting NQS
Leitchville Preschool Play Centre,LEITCHVILLE,3567,33,Exceeding NQS
Colac East Kindergarten,COLAC,3250,33,Exceeding NQS
Winifred Nance Kindergarten,COLAC,3250,33,Exceeding NQS
Wydinia Kindergarten & Early Learning Centre,COLAC,3250,48,Meeting NQS
Millville,COLAC,3250,85,Excellent
Apex Preschool,ELLIMINYT,3250,69,Exceeding NQS
Rupert Street Child Care & Kindergarten - BUC,COLLINGWOOD,3066,77,Meeting NQS
The University of Melbourne Early Learning Centre,ABBOTSFORD,3067,90,Exceeding NQS
Gold Street Child Care Centre,COLLINGWOOD,3066,52,Meeting NQS
Corio Kindergarten,CORIO,3214,58,Meeting NQS
William Hovell Preschool,CORIO,3214,32,Exceeding NQS
Bell Post Hill Kindergarten,BELL POST HILL,3215,60,Meeting NQS
William Parker Memorial Kindergarten,HAMLYN HEIGHTS,3215,27,Exceeding NQS
Lara Kindergarten,LARA,3212,33,Meeting NQS
Flinders Kindergarten,LARA,3212,30,Exceeding NQS
Norlane West Kindergarten,NORLANE,3214,52,Meeting NQS
Bell Park Kindergarten,BELL PARK,3215,72,Meeting NQS
City Learning & Care - Corio,CORIO,3214,60,Meeting NQS
Covenant College Kindergarten,BELL POST HILL,3215,30,Meeting NQS
Regans Road Kindergarten,HAMPTON PARK,3976,30,Exceeding NQS
Langwarrin Preschool,LANGWARRIN,3910,29,Exceeding NQS
Bayles Kindergarten,BAYLES,3981,28,Exceeding NQS
Koo Wee Rup Preschool,KOO WEE RUP,3981,27,Meeting NQS
Pearcedale Kindergarten,PEARCEDALE,3912,30,Exceeding NQS
Valley Brook Kindergarten,HAMPTON PARK,3976,30,Exceeding NQS
Wonnai Kindergarten,LANGWARRIN,3910,30,Exceeding NQS
Clarendon Street Community Child Care Centre,CRANBOURNE,3977,36,Working Towards NQS
Botany Park Preschool,CARRUM DOWNS,3201,30,Meeting NQS
Rangebank Kindergarten,CRANBOURNE,3977,30,Exceeding NQS
Hampton Park East Kindergarten,HAMPTON PARK,3976,30,Exceeding NQS
Langwarrin Park Preschool,LANGWARRIN,3910,90,Exceeding NQS
Bowerbird Kindergarten,CARRUM DOWNS,3201,29,Exceeding NQS
Veronica Street Children's Centre,LANGWARRIN,3910,35,Meeting NQS
Cranbourne Day Care & Kindergarten Centre Pty Ltd - Cranbourne Drive,CRANBOURNE,3977,150,Meeting NQS
Coral Drive Kindergarten,HAMPTON PARK,3976,30,Working Towards NQS
Woodbine Road Preschool,CRANBOURNE,3977,56,Meeting NQS
Cranbourne Day Care & Kindergarten Centre Pty Ltd - Cameron Street,CRANBOURNE,3977,72,Meeting NQS
Rowellyn Preschool,CARRUM DOWNS,3201,27,Meeting NQS
Cranbourne Day Care & Kindergarten Centre Pty Ltd - The Barn,CRANBOURNE,3977,40,Meeting NQS
Pearcedale Day Care & Kindergarten Centre,PEARCEDALE,3912,60,Meeting NQS
Cranbourne Day Care & Kindergarten Centre Pty Ltd - Mundaring Drive,CRANBOURNE,3977,90,Meeting NQS
Kids Paradise Childcare Pty Ltd,CARRUM DOWNS,3201,68,Meeting NQS
Cricklewood Child Care Centre,LANGWARRIN,3910,94,Exceeding NQS
Green Kids Early Learning,HAMPTON PARK,3976,83,Meeting NQS
Cranbourne Day Care & Kindergarten Centre Pty Ltd - Duff Street,CRANBOURNE,3977,50,Meeting NQS
Creswick & District Preschool,CRESWICK,3363,55,Meeting NQS
Brentwood Park Kindergarten,CROYDON,3136,51,Exceeding NQS
Croydon Central Kindergarten,CROYDON,3136,27,Exceeding NQS
Lipscombe Park Kindergarten,CROYDON,3136,29,Exceeding NQS
St Johns Kindergarten,CROYDON,3136,30,Exceeding NQS
Pinjarra Kindergarten,CROYDON SOUTH,3136,28,Working Towards NQS
Melbourne Rudolf Steiner Kindergarten,WARRANWOOD,3134,70,Exceeding NQS
Barngeong Reserve Kindergarten,CROYDON NORTH,3136,50,Meeting NQS
Arrabri Kindergarten Inc,BAYSWATER NORTH,3153,29,Meeting NQS
Kurboroo Kindergarten,WARRANWOOD,3134,33,Meeting NQS
Croydon Early Learning and Childcare Centre,CROYDON,3136,52,Meeting NQS
Hewish Road Child Care Centre,CROYDON,3136,47,Meeting NQS
Swinburne Children's Centre,CROYDON,3136,66,Exceeding NQS
Dorset Early Learning & Kindergarten,CROYDON,3136,49,Meeting NQS
Swinburne Children's Centre Croydon,CROYDON,3136,55,Exceeding NQS
Kardinia Child Care Centre,WARRANWOOD,3134,60,Working Towards NQS
Community Kids Bayswater Early Education Centre,BAYSWATER NORTH,3153,51,Meeting NQS
Dandenong North East Kindergarten,DANDENONG,3175,54,Exceeding NQS
Dandenong North Preschool,DANDENONG,3175,57,Meeting NQS
Dandenong South Preschool,DANDENONG,3175,62,Meeting NQS
Heritage Preschool,DANDENONG NORTH,3175,56,Meeting NQS
Shalimar Park Preschool,DANDENONG NORTH,3175,57,Exceeding NQS
Rosswood Preschool,DANDENONG NORTH,3175,33,Meeting NQS
Fifth Avenue Day Care Centre,DANDENONG,3175,46,Meeting NQS
Dandenong Day Nursery,DANDENONG NORTH,3175,54,Meeting NQS
Rosewood Downs Child Care Centre,DANDENONG,3175,70,Meeting NQS
being3 Early Learning,DANDENONG,3175,41,Working Towards NQS
Daylesford Preschool,DAYLESFORD,3460,39,Exceeding NQS
Daylesford Community Child Care,DAYLESFORD,3460,79,Working Towards NQS
Hepburn Kindergarten,HEPBURN SPRINGS,3461,26,Meeting NQS
Shine Bright Tongala Kindergarten,TONGALA,3621,30,Exceeding NQS
Briar Hill Preschool,BRIAR HILL,3088,30,Exceeding NQS
Bundoora Preschool,BUNDOORA,3083,30,Exceeding NQS
Abacus Child Care Centre,GREENSBOROUGH,3088,75,Exceeding NQS
Warrawee Park Preschool,BUNDOORA,3083,27,Meeting NQS
Diamond Creek Memorial Preschool,DIAMOND CREEK,3089,30,Exceeding NQS
Apollo Parkways Preschool,GREENSBOROUGH,3088,30,Exceeding NQS
TRY Grace Park Preschool,GREENSBOROUGH,3088,33,Exceeding NQS
Greenhills Preschool,GREENSBOROUGH,3088,30,Exceeding NQS
Greensborough Preschool,GREENSBOROUGH,3088,30,Exceeding NQS
Yandell Kindergarten,GREENSBOROUGH,3088,30,Meeting NQS
Watsonia North Preschool,WATSONIA,3087,30,Exceeding NQS
Watsonia Preschool,WATSONIA,3087,29,Exceeding NQS
Eltham North Preschool,ELTHAM,3095,30,Exceeding NQS
Yarrambat / Plenty Preschool,YARRAMBAT,3091,60,Meeting NQS
Delta Road Preschool,WATSONIA,3087,29,Meeting NQS
Wahroonga Preschool,GREENSBOROUGH,3088,28,Exceeding NQS
Diamond Hills Preschool,GREENSBOROUGH,3088,30,Exceeding NQS
Plenty Valley International Montessori School,ST HELENA,3088,133,Exceeding NQS
Joyce Avenue Children's Centre,GREENSBOROUGH,3088,39,Meeting NQS
Occasional Child Care Centre Diamond Creek,DIAMOND CREEK,3089,56,Exceeding NQS
Jeparit Kindergarten,JEPARIT,3423,26,Meeting NQS
