ServiceName,Suburb,Postcode,NumberOfApprovedPlaces,OverallRating
Epping North Preschool,EPPING,3076,26,Meeting NQS
Mill Park Heights Child Care Centre,MILL PARK,3082,66,Meeting NQS
The Heights Kindergarten,MILL PARK,3082,58,Meeting NQS
TRY Whittlesea Children's Centre,WHITTLESEA,3757,111,Working Towards NQS
Kalman Road Early Learning & Kinder,EPPING,3076,54,Meeting NQS
Happy Faces Child Care Centre,MILL PARK,3082,79,Meeting NQS
Home Road Kindergarten,NEWPORT,3015,55,Exceeding NQS
Emma McLean Kindergarten & Daycare Inc,SPOTSWOOD,3015,41,Exceeding NQS
Robina Scott Kindergarten,WILLIAMSTOWN,3016,62,Exceeding NQS
The Range Children's Centre,WILLIAMSTOWN,3016,97,Exceeding NQS
Birregurra Preschool Centre,BIRREGURRA,3242,42,Exceeding NQS
Helen M Kininmonth Kindergarten,WINCHELSEA,3241,30,Exceeding NQS
Lorne Kindergarten,LORNE,3232,31,Exceeding NQS
Stanley Street Preschool,WODONGA,3690,33,Exceeding NQS
Belgrade Avenue Preschool,WODONGA,3690,71,Exceeding NQS
Jamieson Court Children's Centre,WODONGA,3690,33,Meeting NQS
Kids on Campus,WODONGA,3690,160,Working Towards NQS
Baranduda Community Centre,BARANDUDA,3691,61,Exceeding NQS
Community Kids Wodonga Early Education Centre,WODONGA,3690,47,Working Towards NQS
Felltimber Children's Centre,WEST WODONGA,3690,88,Meeting NQS
Riverview Child Care Centre,WODONGA,3690,81,Meeting NQS
Bass Coast Children's Centre,WONTHAGGI,3995,60,Exceeding NQS
Meeniyan Preschool,MEENIYAN,3956,27,Exceeding NQS
Hassett Street Kindergarten,LEONGATHA,3953,30,Meeting NQS
Sea Lake Kindergarten,SEA LAKE,3533,25,Exceeding NQS
Wycheproof Preschool Play Centre,WYCHEPROOF,3527,25,Meeting NQS
Yea and District Childrens Centre,YEA,3717,67,Meeting NQS
Teesdale Children's Centre,TEESDALE,3328,33,Working Towards NQS
Community Early-years Childcare - Chiltern,CHILTERN,3683,33,Meeting NQS
Katandra West Early Childhood Centre,KATANDRA WEST,3634,29,Meeting NQS
Wallace & District Kindergarten,WALLACE,3352,32,Exceeding NQS
Dunolly Kindergarten,DUNOLLY,3472,30,Exceeding NQS
Woady Yaloak Kindergarten,SCARSDALE,3351,27,Meeting NQS
Delacombe Community Kindergarten,DELACOMBE,3356,55,Meeting NQS
Haddon Preschool Centre,HADDON,3351,29,Meeting NQS
Dookie Children's Centre,DOOKIE,3646,33,Exceeding NQS
Isabel Pearce Kindergarten,SHEPPARTON EAST,3631,58,Exceeding NQS
Tallygaroopna Children's Centre,TALLYGAROOPNA,3634,30,Exceeding NQS
Glenrowan Kindergarten,GLENROWAN,3675,30,Meeting NQS
Traralgon South Kindergarten,TRARALGON SOUTH,3844,30,Meeting NQS
Tyers Kindergarten,TYERS,3844,30,Meeting NQS
Cavendish Kindergarten,CAVENDISH,3314,17,Exceeding NQS
Newstead Preschool,NEWSTEAD,3462,25,Exceeding NQS
Castlemaine Steiner Kindergarten,MUCKLEFORD,3451,28,Meeting NQS
Koondrook Preschool,KOONDROOK,3580,17,Exceeding NQS
Eltham North Child Care,ELTHAM NORTH,3095,84,Exceeding NQS
Jindi Woraback Children's Centre,ST ALBANS,3021,131,Excellent
Alexandra Avenue Children's Centre,SUNSHINE,3020,129,Meeting NQS
Homestead Child & Family Centre,ROXBURGH PARK,3064,126,Exceeding NQS
Tatura Children's Centre,TATURA,3616,103,Exceeding NQS
Werribee West Family Centre (Ldc),WERRIBEE,3030,89,Meeting NQS
Haileybury Newlands,KEYSBOROUGH,3173,117,Exceeding NQS
Oak Park Children's Centre,OAK PARK,3046,48,Meeting NQS
Dromana Early Learning Centre and Kindergarten,DROMANA,3936,90,Exceeding NQS
Bright Beginnings Child Care Centre,OAKLEIGH SOUTH,3167,50,Meeting NQS
Toorak College Preschool,MOUNT ELIZA,3930,109,Exceeding NQS
Guardian Childcare & Education Camberwell,CAMBERWELL,3124,88,Meeting NQS
Essex Heights Juniors,MOUNT WAVERLEY,3149,87,Exceeding NQS
Headstart Early Learning Centre Knoxfield,KNOXFIELD,3180,67,Meeting NQS
Hothlyn Drive Children's Centre,CRAIGIEBURN,3064,60,Meeting NQS
Community Kids Chirnside Park Early Education Centre,CHIRNSIDE PARK,3116,74,Exceeding NQS
Maroondah Montessori Preschool,RINGWOOD EAST,3135,30,Exceeding NQS
Good Shepherd Early Childhood Services,HAMILTON,3300,85,Meeting NQS
Sydenham Children's Centre,SYDENHAM,3037,52,Meeting NQS
Knowledge Tree Early Learning Centre,ENDEAVOUR HILLS,3802,25,Meeting NQS
Templestowe World of Learning,TEMPLESTOWE LOWER,3107,60,Meeting NQS
Kids Company - Cheltenham,CHELTENHAM,3192,120,Working Towards NQS
Penbank Early Learning Centre,MOOROODUC,3933,29,Exceeding NQS
Oakleigh World of Learning,OAKLEIGH,3166,91,Meeting NQS
Kilmore Child Care Centre,KILMORE,3764,51,Meeting NQS
Sydenham Central Early Learning Kinders,SYDENHAM,3037,100,Meeting NQS
Aussie Kindies Early Learning Keilor,KEILOR,3036,90,Meeting NQS
Alphington Grammar Preschool,ALPHINGTON,3078,40,Meeting NQS
Caulfield Grammar Early Childhood Centre-Malvern Campus,GLEN IRIS,3146,70,Exceeding NQS
NurtureOne Children's Centre Kilmore,KILMORE,3764,60,Meeting NQS
ACE Child Care Centre,DONCASTER EAST,3109,34,Meeting NQS
Kingston Kids Preschool & Child Care Centre,MORDIALLOC,3195,74,Meeting NQS
The Honeypot Childcare Centre,WARRNAMBOOL,3280,40,Meeting NQS
Viewbank Early Childhood Centre,VIEWBANK,3084,110,Meeting NQS
Minimbah Early Childhood Centre,FRANKSTON,3199,44,Exceeding NQS
Apple Blossoms Early Learning - Mooroopna,MOOROOPNA,3629,69,Meeting NQS
Windsor Community Children's Centre Co-op Ltd.,WINDSOR,3181,54,Exceeding NQS
Westgarth Kindergarten,NORTHCOTE,3070,58,Exceeding NQS
Canberra Avenue Child Care & Kinder,DANDENONG,3175,73,Meeting NQS
Westernport Child Care Centre,LANG LANG,3984,89,Meeting NQS
Bayswater Childcare & Kinder,BAYSWATER,3153,45,Exceeding NQS
Kialla Children's Centre,KIALLA,3631,102,Meeting NQS
Goodstart Early Learning Doveton,DOVETON,3177,75,Exceeding NQS
Maroondah Occasional Care,CROYDON,3136,38,Meeting NQS
Knight Street Preschool & Child Care Centre,SHEPPARTON,3630,60,Meeting NQS
Wattletree Early Childhood Centre,MALVERN,3144,71,Exceeding NQS
Nido Early School Templestowe,TEMPLESTOWE,3106,60,Meeting NQS
Snugglepotts Children's Centre,CAMBERWELL,3124,36,Meeting NQS
Gumnuts Early Learning Centre,SALE,3850,96,Meeting NQS
Gippsland Lakes Complete Health Children's Centre,LAKES ENTRANCE,3909,76,Meeting NQS
Camberwell Junction Early Learning Centre,HAWTHORN EAST,3123,60,Meeting NQS
Florence Collins Childrens Services Complex,WARRNAMBOOL,3280,103,Exceeding NQS
Woodlands House Child Care,OCEAN GROVE,3226,76,Exceeding NQS
Samantha's Child Care Centre,CAMBERWELL,3124,62,Meeting NQS
Marang Early Learning Centre,STAWELL,3380,59,Working Towards NQS
Campaspe Community Children's Centre,ECHUCA,3564,77,Meeting NQS
Goldfields Children's Centre,MARYBOROUGH,3465,100,Working Towards NQS
Little Joey's Early Learning,NARRE WARREN EAST,3804,80,Exceeding NQS
Journey Early Learning Centre - Templestowe,TEMPLESTOWE LOWER,3107,45,Meeting NQS
Westmere Children's Services Centre,COOLAROO,3048,50,Meeting NQS
Little Grasshoppers,MORNINGTON,3931,73,Meeting NQS
INSPIRE EARLY LEARNING JOURNEY SPRINGVALE,SPRINGVALE,3171,65,Meeting NQS
Geelong Grammar School Bostock House Early Learning Centre,NEWTOWN,3220,26,Meeting NQS
The Peninsula School Kindergarten,MOUNT ELIZA,3930,72,Exceeding NQS
Thornbury Learning Centre,THORNBURY,3071,70,Meeting NQS
Waverley Christian College,WANTIRNA SOUTH,3152,30,Meeting NQS
Chairo Christian School,PAKENHAM,3810,25,Working Towards NQS
Lauriston Kindergarten (1),ARMADALE,3143,182,Exceeding NQS
Dala Lidj - Woolum Bellum Kindergarten,MORWELL,3840,25,Meeting NQS
St Johns Lutheran Kindergarten,NEWTOWN,3220,27,Exceeding NQS
Baxter Childcare Centre,BAXTER,3911,48,Meeting NQS
Kilvington Grammar Early Learning Centre,ORMOND,3204,60,Exceeding NQS
Wesley College Melbourne Elsternwick Early Childhood Learning Centre,ELSTERNWICK,3185,66,Exceeding NQS
Haileybury Kindergarten,BRIGHTON EAST,3187,92,Exceeding NQS
The Knox School Pre-Prep Centre,WANTIRNA SOUTH,3152,56,Exceeding NQS
Korowa AGS Early Learning Centre for 3 and 4 Year Olds,GLEN IRIS,3146,99,Exceeding NQS
Leongatha Children's Centre,LEONGATHA,3953,95,Exceeding NQS
Guardian Childcare & Education East Ivanhoe,IVANHOE,3079,91,Exceeding NQS
Green Land Children's Services Centre,MOUNT WAVERLEY,3149,67,Working Towards NQS
Southern Cross Montessori Torquay,TORQUAY,3228,28,Meeting NQS
Strathcona Early Learning Centre,CANTERBURY,3126,55,Exceeding NQS
Ivanhoe Girls' Grammar Early Learning Centre,IVANHOE,3079,39,Exceeding NQS
Trinity Grammar School Kindergarten,KEW,3101,48,Meeting NQS
Cuddly Bear Templestowe,TEMPLESTOWE,3106,55,Meeting NQS
Save the Children Kindergarten - Nowa Nowa,NOWA NOWA,3887,25,Meeting NQS
Bialik College Early Learning Centre,HAWTHORN EAST,3123,220,Exceeding NQS
Jindalee Kindergarten,NARRE WARREN,3805,55,Exceeding NQS
Berwick Kindergarten,BERWICK,3806,55,Exceeding NQS
Kingswood College Early Learning Centre,BOX HILL,3128,40,Exceeding NQS
Lowther Hall Anglican Grammar School Kindergarten,ESSENDON,3040,44,Exceeding NQS
Flemington Street Children's Centre,FLEMINGTON,3031,55,Exceeding NQS
One Tree Defence Childcare Unit Coventry,SOUTH MELBOURNE,3205,50,Working Towards NQS
Centre for Early Education,WENDOUREE,3355,171,Exceeding NQS
Maribyrnong River Children's Centre,MARIBYRNONG,3032,107,Meeting NQS
Yarra Valley Grammar School Early Learning Centre,RINGWOOD,3134,66,Exceeding NQS
Yesodei Hatorah College,ELWOOD,3184,45,Exceeding NQS
Ivanhoe Grammar Early Learning Centre,IVANHOE,3079,45,Exceeding NQS
Mentone Grammar School,MENTONE,3194,100,Exceeding NQS
Waverley Montessori Early Learning Centre,MULGRAVE,3170,30,Working Towards NQS
Tungamah Kindergarten & Early Childhood Service,TUNGAMAH,3728,22,Exceeding NQS
Try Youth South Yarra,SOUTH YARRA,3141,26,Exceeding NQS
Mykidz Early Learning Centre,DONCASTER EAST,3109,36,Meeting NQS
Rokewood Kindergarten,ROKEWOOD,3330,25,Working Towards NQS
Preshil - The Margaret Lyttle Memorial School,KEW,3101,30,Exceeding NQS
Barbara Tolson Centre - Melbourne Girls Grammar,SOUTH YARRA,3141,87,Exceeding NQS
Methodist Ladies College - Kindle,KEW,3101,92,Exceeding NQS
Undera Kindergarten,UNDERA,3629,20,Meeting NQS
Littlecroft Kindergarten,NARRE WARREN,3805,60,Exceeding NQS
Katamatite and District Multipurpose Children's Centre,KATAMATITE,3649,21,Exceeding NQS
Allora Kindergarten,LEONGATHA,3953,27,Meeting NQS
Edenhope Kindergarten,EDENHOPE,3318,46,Meeting NQS
Rainbow Kindergarten,RAINBOW,3424,24,Meeting NQS
South Morang Preschool Inc - Riverside,SOUTH MORANG,3752,30,Exceeding NQS
Brookside Preschool,CAROLINE SPRINGS,3023,33,Exceeding NQS
Peekaboo Child Care Centre,CORRYONG,3707,40,Working Towards NQS
Seabrook Kindergarten,SEABROOK,3028,66,Exceeding NQS
Brookside Early Learning Centre,CAROLINE SPRINGS,3023,63,Meeting NQS
Try Mt. Carberry Preschool,MELTON SOUTH,3338,33,Meeting NQS
St Mel's Kindergarten,SHEPPARTON,3630,47,Meeting NQS
Gum Nuts Resort,BENALLA,3672,140,Meeting NQS
Wonder World Play Centre,PRESTON,3072,24,Meeting NQS
Dingee Preschool,DINGEE,3571,21,Meeting NQS
Xavier College - Burke Hall Early Years Centre,KEW,3101,64,Exceeding NQS
Lake Bolac & District Kindergarten,LAKE BOLAC,3351,37,Working Towards NQS
Gold Street Children's Centre - Keele Street Campus,COLLINGWOOD,3066,37,Exceeding NQS
St Kilda Steiner Kindergarten,ST KILDA EAST,3183,24,Meeting NQS
Eildon and District Kindergarten,EILDON,3713,23,Meeting NQS
Barbary Crescent Preschool,TAYLORS LAKES,3038,33,Meeting NQS
Little Grasshoppers,MORNINGTON,3931,41,Meeting NQS
One World Children's Centre,GEELONG NORTH,3215,154,Exceeding NQS
Ness Reserve Pre-school,DIAMOND CREEK,3089,25,Exceeding NQS
Rossmoyne Kindergarten,BERWICK,3806,60,Exceeding NQS
Community Kids Hampton Park Early Education Centre,HAMPTON PARK,3976,130,Meeting NQS
"St Paul's ELC, Traralgon Campus",TRARALGON,3844,87,Meeting NQS
Lighthouse Early Learning Centre,KEYSBOROUGH,3173,52,Meeting NQS
Mansfield Rudolf Steiner School & Kindergarten,MANSFIELD,3722,42,Exceeding NQS
Alfred Child Care Centre,MELBOURNE,3004,60,Meeting NQS
The Hamilton and Alexandra College Early Learning Centre,HAMILTON,3300,24,Exceeding NQS
Athol Road Primary School Kindergarten,SPRINGVALE SOUTH,3172,66,Exceeding NQS
San Remo Kindergarten,SAN REMO,3925,45,Working Towards NQS
Glen Oak Kindergarten,OAK PARK,3046,25,Meeting NQS
Caulfield Grammar Pre-Prep,WHEELERS HILL,3150,90,Exceeding NQS
Wyndarra Children's Centre,HOPPERS CROSSING,3029,103,Meeting NQS
NurtureOne Wodonga Children's Centre,WODONGA,3690,113,Meeting NQS
Arndell Park Early Childhood Learning Centre,TRUGANINA,3029,100,Meeting NQS
First Grammar Beaconsfield,BEACONSFIELD,3807,140,Working Towards NQS
North Brighton Kindergarten,BRIGHTON,3186,41,Exceeding NQS
Maryvale Crescent Kindergarten,MORWELL,3840,29,Meeting NQS
Monash Caulfield Child Care,CAULFIELD EAST,3145,50,Exceeding NQS
Altona Gate Kindergarten,ALTONA NORTH,3025,30,Meeting NQS
St Leonard's College Early Learning Centre-Brighton,BRIGHTON EAST,3187,92,Exceeding NQS
Bannockburn Children's Service,BANNOCKBURN,3331,146,Meeting NQS
Kilmore Family Centre,KILMORE,3764,58,Meeting NQS
Early Discoveries Pre-school,CAROLINE SPRINGS,3023,74,Working Towards NQS
Malcolm Creek Preschool,CRAIGIEBURN,3064,66,Exceeding NQS
The Cubby House Early Learning & Kinder,COLAC,3250,91,Meeting NQS
Northern Bay College,CORIO,3214,69,Working Towards NQS
Gwendoline Kindergarten,BERWICK,3806,120,Exceeding NQS
Freshwater Creek Steiner Kindergarten,FRESHWATER CREEK,3216,35,Meeting NQS
Burch Family Memorial Preschool,WONGA PARK,3115,49,Exceeding NQS
Lara Lake Community Preschool,LARA,3212,88,Exceeding NQS
Guardian Childcare & Education Mulgrave South,MULGRAVE,3170,102,Exceeding NQS
Ballan Childcare Centre,BALLAN,3342,50,Meeting NQS
Green Park Kindergarten,HORSHAM,3400,54,Meeting NQS
The Honeypot Early Learning Centre Koroit,KOROIT,3282,29,Exceeding NQS
Koori First Steps Preschool,WODONGA,3690,30,Exceeding NQS
Aussie Kindies Early Learning Sunbury,SUNBURY,3429,78,Meeting NQS
Parkwood Green Preschool,HILLSIDE,3037,146,Exceeding NQS
Judy Klein's Creche,ELSTERNWICK,3185,20,Exceeding NQS
Beaconsfield Kindergarten- O'Neil Road,BEACONSFIELD,3807,65,Exceeding NQS
Caulfield Primary Early Childhood Centre,CAULFIELD SOUTH,3162,43,Exceeding NQS
Banana Splits Childcare Centre,CAMPERDOWN,3260,50,Meeting NQS
Ballarat North Early Learning Centre,BALLARAT,3350,120,Working Towards NQS
Aussie Kindies Early Learning Bacchus Marsh,BACCHUS MARSH,3340,85,Working Towards NQS
Vasey Park Preschool Inc,LALOR,3075,30,Meeting NQS
One Tree Defence Childcare Unit Puckapunyal,PUCKAPUNYAL,3662,86,Meeting NQS
Laverton Community Children's Centre,LAVERTON,3028,116,Exceeding NQS
Yarra Warra Preschool,WARRANDYTE NORTH,3113,60,Exceeding NQS
Yarrawonga Early Childhood Centre,YARRAWONGA,3730,60,Meeting NQS
Little Owls Early Learning Centre,BEACONSFIELD,3807,30,Meeting NQS
Bumble Bees Childcare Centre,WODONGA,3690,122,Exceeding NQS
Auburn South Preschool,HAWTHORN EAST,3123,55,Exceeding NQS
Bestchance Children's Centre,GLEN WAVERLEY,3150,180,Working Towards NQS
Duke Street Children's Centre,MAFFRA,3860,65,Meeting NQS
Gisborne Montessori School,NEW GISBORNE,3437,75,Meeting NQS
Dudley Street Childcare and Kindergarten,WALLAN,3756,96,Meeting NQS
Early Learning Centre Rose Grange,TARNEIT,3029,120,Meeting NQS
Sparrow Early Learning Manor Lakes,WYNDHAM VALE,3024,125,Working Towards NQS
The Grange Kindergarten,HOPPERS CROSSING,3029,62,Exceeding NQS
Kindy Patch Mordialloc,MORDIALLOC,3195,40,Meeting NQS
Edrington Park Child Care & Kindergarten,BERWICK,3806,120,Meeting NQS
Jamieson Way Community Centre - Kindergarten,POINT COOK,3030,70,Exceeding NQS
Rose Garden Sunshine Early Learning Centre,SUNSHINE WEST,3020,120,Meeting NQS
One Tree Puckapunyal Kindergarten,PUCKAPUNYAL,3662,45,Working Towards NQS
Milestones Early Learning Lakes Entrance,LAKES ENTRANCE,3909,65,Meeting NQS
Bluebird Early Education Moe,MOE,3825,65,Meeting NQS
McKenzie Street Children's Centre,WONTHAGGI,3995,70,Exceeding NQS
Strathaird Kindergarten,NARRE WARREN,3805,90,Meeting NQS
Leslie Gribble Children's Centre,SHEPPARTON,3630,29,Meeting NQS
Chabad Glen Eira Creche,CAULFIELD,3162,40,Exceeding NQS
Yeshivah Beth Rivkah Preschools,ST KILDA EAST,3183,274,Exceeding NQS
Mykidz Early Learning Centre,DONCASTER,3108,49,Meeting NQS
Taraleigh Steiner Kindergarten and Playgroup,BENTLEIGH EAST,3165,24,Meeting NQS
Little Munchkins Child Care Centre,HILLSIDE,3037,120,Working Towards NQS
Little Babe's Early Learning Centre,ST ALBANS,3021,60,Exceeding NQS
Balmoral and District Kindergarten,BALMORAL,3407,26,Meeting NQS
Pelican Childcare Heatherton,HEATHERTON,3202,90,Working Towards NQS
Violet Town and District Early Childhood Centre,VIOLET TOWN,3669,53,Meeting NQS
Clever Kids Childcare - Ashburton,ASHBURTON,3147,45,Meeting NQS
Clever Kids Early Learning Centre,CARRUM DOWNS,3201,70,Meeting NQS
Cradles to Crayons Early Learning Centre,KEALBA,3021,83,Meeting NQS
Bentons Square Kindergarten,MORNINGTON,3931,61,Exceeding NQS
Hawkesdale and District Family Services Centre,HAWKESDALE,3287,50,Meeting NQS
Bimbi Day Care,AIRPORT WEST,3042,51,Meeting NQS
Xavier College - Kostka Hall Early Years Programme,BRIGHTON,3186,59,Exceeding NQS
Smartie Pants Early Learning & Development,DIAMOND CREEK,3089,90,Exceeding NQS
Roscoe Avenue Children's Centre,HAMILTON,3300,65,Meeting NQS
Aussie Kindies Early Learning Kyabram,KYABRAM,3620,74,Meeting NQS
Aussie Kindies Early Learning Stawell,STAWELL,3380,78,Working Towards NQS
Bairnsdale Childcare & Kinder,BAIRNSDALE,3875,162,Meeting NQS
Paddy O'Donoghue Centre - (Noble Park Community Service Centre),NOBLE PARK,3174,120,Working Towards NQS
Rosedale Neighbourhood Kindergarten,ROSEDALE,3847,44,Exceeding NQS
Tooradin Kindergarten,TOORADIN,3980,30,Exceeding NQS
Minnows Cheltenham,CHELTENHAM,3192,75,Exceeding NQS
Northland Kinder Haven,PRESTON,3072,100,Exceeding NQS
Guardian Childcare & Education Mentone East,MENTONE,3194,94,Exceeding NQS
Wonderland Childcare & Kinder,DONCASTER,3108,77,Meeting NQS
Little Sophia Inc,ABBOTSFORD,3067,40,Exceeding NQS
Mill Park Lakes Preschool,SOUTH MORANG,3752,93,Exceeding NQS
Long Island Early Learning Centre,FRANKSTON,3199,55,Meeting NQS
Kardinia International College Kindergarten,BELL POST HILL,3215,75,Exceeding NQS
Greenland Early Learning Centre,GLEN WAVERLEY,3150,105,Meeting NQS
Community Kids Pakenham Early Education Centre,PAKENHAM,3810,100,Meeting NQS
Carmody Drive Kindergarten,CAIRNLEA,3023,54,Meeting NQS
3 Apples Childcare Centre & Kindergarten,BALWYN,3103,45,Meeting NQS
Lakeside Children's Centre,PAKENHAM,3810,66,Meeting NQS
Clayton Community Centre Kindergarten,CLAYTON,3168,30,Exceeding NQS
One Tree Defence Childcare Unit East Sale,SALE EAST,3852,62,Meeting NQS
Serrell Street Kindergarten,MALVERN EAST,3145,51,Meeting NQS
FedUni Children's Centre at Churchill,CHURCHILL,3842,75,Meeting NQS
Headstart Early Learning Centre Ocean Grove,OCEAN GROVE,3226,95,Meeting NQS
Glen Iris Road Kindergarten,GLEN IRIS,3146,30,Meeting NQS
Carrum Downs Early Learning Centre,CARRUM DOWNS,3201,120,Meeting NQS
Lynbrook Kindergarten,LYNBROOK,3975,130,Exceeding NQS
Milestones Early Learning Ringwood,RINGWOOD,3134,125,Meeting NQS
Croydon World of Learning,CROYDON NORTH,3136,110,Meeting NQS
St Andrew's Uniting Care Kindergarten,WARRAGUL,3820,30,Meeting NQS
Wilsons Road Early Learning & Kinder,NEWCOMB,3219,76,Meeting NQS
Lake View Children's Centre,MOUNT BEAUTY,3699,71,Exceeding NQS
Poets Grove Family and Children's Services Centre,ELWOOD,3184,105,Meeting NQS
Aussie Kindies Early Learning Cranbourne,CRANBOURNE,3977,120,Meeting NQS
Gippsland Grammar Early Learning Centre,SALE,3850,40,Exceeding NQS
Waverley Kidz Children's Centre,GLEN WAVERLEY,3150,58,Meeting NQS
Each Child Community Child & Family Centre,RINGWOOD EAST,3135,122,Working Towards NQS
Laurimar Child Care and Early Learning,DOREEN,3754,120,Meeting NQS
Headstart Early Learning Centre Altona North,ALTONA NORTH,3025,110,Working Towards NQS
Edinburgh Early Learning Centre,LILYDALE,3140,118,Exceeding NQS
Creekside Kindergarten,CAROLINE SPRINGS,3023,99,Working Towards NQS
Guardian Childcare & Education Torquay,TORQUAY,3228,72,Exceeding NQS
Goodstart Early Learning Cranbourne East,CRANBOURNE,3977,105,Meeting NQS
Story House Early Learning Diamond Creek,DIAMOND CREEK,3089,92,Meeting NQS
Discovery Childcare and Education (Boronia),BORONIA,3155,176,Exceeding NQS
Hastings Child Care Centre,HASTINGS,3915,46,Working Towards NQS
Stonnington Children's Centre,WINDSOR,3181,61,Exceeding NQS
Hippity Hop Childcare,PAKENHAM,3810,120,Meeting NQS
Torquay Kindergarten,TORQUAY,3228,90,Exceeding NQS
Lake Gardens Children's Centre,LAKE GARDENS,3355,66,Working Towards NQS
Creative Garden Early Learning Tullamarine,MELBOURNE AIRPORT,3046,120,Exceeding NQS
Little Scooters,RESEARCH,3095,108,Exceeding NQS
Sentia Early Learning,MELBOURNE,3000,124,Meeting NQS
Cairnlea Kindy and Child Care Centre,CAIRNLEA,3023,130,Meeting NQS
Creative Garden Early Learning Berwick,BERWICK,3806,60,Meeting NQS
The Joey Club Melbourne,MELBOURNE AIRPORT,3046,85,Exceeding NQS
Guardian Childcare & Education St Kilda South,ST KILDA,3182,149,Meeting NQS
HEI SCHOOLS EMERALD EARLY LEARNING CENTRE,EMERALD,3782,60,Meeting NQS
Reeve Street Children's Centre,SALE,3850,70,Meeting NQS
Guardian Childcare & Education Chadstone,CHADSTONE,3148,99,Meeting NQS
Bluebird Way Child and Family Centre,ROXBURGH PARK,3064,95,Exceeding NQS
APPLE BLOSSOMS EARLY LEARNING - NARRE WARREN,NARRE WARREN,3805,120,Meeting NQS
The Learning Sanctuary Pakenham,PAKENHAM,3810,125,Meeting NQS
Cooinda Early Learning Centre,WESTMEADOWS,3049,88,Exceeding NQS
Moonstar Kids Academy,BROADMEADOWS,3047,15,Working Towards NQS
Moonee Ponds Kinder Haven,MOONEE PONDS,3039,110,Meeting NQS
Beacon Street Children's Centre,VERMONT SOUTH,3133,37,Meeting NQS
Guardian Childcare & Education Brighton,BRIGHTON EAST,3187,78,Meeting NQS
Pelican Childcare Lynbrook,LYNBROOK,3975,110,Exceeding NQS
Kindy Patch Clarinda,CLARINDA,3169,45,Exceeding NQS
Chairo Christian School Early Learning Centre,DROUIN,3818,28,Exceeding NQS
Robin's Nest Early Learning Centre,NOBLE PARK,3174,105,Meeting NQS
Peninsula Sands Preschool,ROSEBUD,3939,30,Exceeding NQS
Ballarat Rudolf Steiner Kindergarten,MOUNT HELEN,3350,22,Working Towards NQS
Tulip Street Early Learning Centre,CHELTENHAM,3192,60,Exceeding NQS
First Early Learning Hastings,HASTINGS,3915,120,Working Towards NQS
Community Kids Roxburgh Park Early Education Centre,ROXBURGH PARK,3064,85,Meeting NQS
Heidelberg Early Learning Centre,HEIDELBERG WEST,3081,40,Meeting NQS
Sutherland St Childcare and Kindergarten,KILMORE,3764,120,Exceeding NQS
Paisley Park Early Learning Centre Maryborough,MARYBOROUGH,3465,70,Meeting NQS
St Albans Park Kindergarten,ST ALBANS PARK,3219,34,Exceeding NQS
Livingston Kindergarten,HIGHETT,3190,64,Exceeding NQS
Early Beginners,SPRINGVALE,3171,120,Working Towards NQS
Bunyip Childcare Centre,BUNYIP,3815,75,Meeting NQS
Mary's Little Lambs Early Learning Centre,BOX HILL NORTH,3129,50,Working Towards NQS
Warracknabeal Memorial Kindergarten,WARRACKNABEAL,3393,30,Meeting NQS
Bumble Bees Childcare Thomas Mitchell Drive,WODONGA,3690,137,Meeting NQS
Only About Children Newport,SOUTH KINGSVILLE,3015,105,Exceeding NQS
Warracknabeal Child Care Centre,WARRACKNABEAL,3393,24,Working Towards NQS
Highpoint Kinder Haven,MARIBYRNONG,3032,105,Meeting NQS
Ray Street Children's Centre,CASTLEMAINE,3450,70,Meeting NQS
Gippsland Grammar Early Learning Centre - Wy Yung,WY YUNG,3875,20,Exceeding NQS
Steel Street Children's Centre,HEALESVILLE,3777,90,Meeting NQS
Tinkabell Early Learning Centre,MITCHAM,3132,60,Meeting NQS
Community Kids Haven Hillside,HILLSIDE,3037,60,Meeting NQS
Journey Early Learning Centre - Whittlesea,WHITTLESEA,3757,70,Exceeding NQS
Camberwell Girls Grammar School,CANTERBURY,3126,62,Exceeding NQS
Eramosa Early Learning Centre and Kindergarten,SOMERVILLE,3912,90,Meeting NQS
Westernport Child Care Centre and Kindergarten Koo Wee Rup,KOO WEE RUP,3981,50,Meeting NQS
Kilsyth Kids Educare Centre,KILSYTH,3137,75,Meeting NQS
Kool Kidz Rowville,ROWVILLE,3178,93,Exceeding NQS
Pelican Childcare Craigieburn,CRAIGIEBURN,3064,121,Meeting NQS
Boulevard Early Learning Centre,GLEN WAVERLEY,3150,84,Meeting NQS
Kew Kids Early Learning Centre,KEW EAST,3102,103,Exceeding NQS
Little Starters Early Learning & Kinder,CARRUM DOWNS,3201,91,Meeting NQS
123KIDS,HAMPTON PARK,3976,153,Meeting NQS
Kids World Geelong,NORLANE,3214,140,Meeting NQS
Creative Play Early Learning Centre,BULLEEN,3105,120,Exceeding NQS
Little Learner's Early Education,SOUTH MORANG,3752,282,Exceeding NQS
Strong Drive Kindergarten,HAMPTON PARK,3976,30,Exceeding NQS
Bambini Early Learning Centre,BRIGHTON,3186,75,Exceeding NQS
First Grammar Bendigo,BENDIGO,3550,94,Meeting NQS
KingKids Early Learning Centre & Kindergarten,BERWICK,3806,120,Meeting NQS
Pakenham Springs Children's Centre,PAKENHAM,3810,60,Meeting NQS
